MESSAGEID	LATITUDE	LONGITUDE	MESSAGEDATE	EMOTION
276361736687341569	51.45230182	7.01305533	2012-12-05 05:25:47	1
276363255725817857	49.7190436	11.90684666	2012-12-05 05:31:49	6
276363221131202560	51.3721103	9.9104912	2012-12-05 05:31:41	5
276364570371702785	49.71902584	11.90684861	2012-12-05 05:37:02	7
276363270712074240	52.65223863	10.10728967	2012-12-05 05:31:52	1
276367512516567040	48.3704126	10.9081007	2012-12-05 05:48:44	1
276367512466227200	48.38585	8.9948	2012-12-05 05:48:44	5
276368898931163136	51.6310465	7.51844919	2012-12-05 05:54:14	1
276368898905997312	51.0082776	12.0117894	2012-12-05 05:54:14	1
276367515872002053	48.38585	8.9948	2012-12-05 05:48:45	5
276368929935466496	51.2094509	6.8395023	2012-12-05 05:54:22	1
276368929847406592	50.3910579	7.5517277	2012-12-05 05:54:22	1
276368952471465984	49.08134642	11.61767315	2012-12-05 05:54:27	7
276368947924840448	50.9068592	6.91637223	2012-12-05 05:54:26	1
276368960067342337	51.19507853	6.45431757	2012-12-05 05:54:29	1
276368957257175040	49.4782946	10.7229467	2012-12-05 05:54:28	1
276346189199314944	47.8302042	11.1402946	2012-12-05 04:24:00	1
276368965998112768	52.50011	13.6084078	2012-12-05 05:54:30	1
276346215787012096	48.14758618	11.58561958	2012-12-05 04:24:06	1
276346218790137856	48.14758618	11.58561958	2012-12-05 04:24:07	5
276346227178762242	50.08350609	14.42329488	2012-12-05 04:24:09	1
276346225836560385	47.747268	9.133729	2012-12-05 04:24:09	1
276346245579145216	48.109182	11.433026	2012-12-05 04:24:13	1
276346237656129536	49.4285951	7.7081053	2012-12-05 04:24:11	3
276346280291225601	50.35498981	14.47931776	2012-12-05 04:24:22	1
276346254991187968	48.3825856	10.8512602	2012-12-05 04:24:16	1
276347764269543424	51.0860636	13.69431853	2012-12-05 04:30:15	1
276347748696092674	47.97565015	7.82762167	2012-12-05 04:30:12	1
276347767964725248	47.76209555	12.7455597	2012-12-05 04:30:16	1
276347765506842624	52.54033095	13.3850828	2012-12-05 04:30:16	1
276347816190832640	52.52137644	11.40817397	2012-12-05 04:30:28	1
276347787472416769	48.7637888	9.1650695	2012-12-05 04:30:21	1
276347838638727168	53.547958	9.927442	2012-12-05 04:30:33	1
276347833098055680	54.5771834	8.9975851	2012-12-05 04:30:32	2
276349480746512384	49.0022278	8.4505385	2012-12-05 04:37:05	1
276347858100310016	49.14306741	9.11895943	2012-12-05 04:30:38	1
276349505815838721	51.32258395	9.48894285	2012-12-05 04:37:11	7
276349501382467584	52.48392286	11.18202147	2012-12-05 04:37:10	7
276349538107805696	50.06912268	14.42442656	2012-12-05 04:37:18	1
276351087659868160	50.11474296	8.68147404	2012-12-05 04:43:28	1
276349570341019648	51.51758271	7.45894432	2012-12-05 04:37:26	1
276351128411721729	52.469632	13.38657515	2012-12-05 04:43:38	1
276351111542239232	52.49799294	13.33997373	2012-12-05 04:43:34	1
276351139946049536	51.5647864	9.8901201	2012-12-05 04:43:40	1
276351134527000577	49.70657213	9.26403988	2012-12-05 04:43:39	7
276351170732249088	49.0078093	8.38288087	2012-12-05 04:43:48	1
276351167745900548	52.50798098	13.38250817	2012-12-05 04:43:47	1
276352793168719872	48.82632112	9.09295817	2012-12-05 04:50:14	1
276352861955305472	50.140333	8.920981	2012-12-05 04:50:31	1
276352832117018624	52.51358738	13.49961587	2012-12-05 04:50:24	1
276354297548124160	50.086447	14.411856	2012-12-05 04:56:13	1
276354287666343937	50.9899549	7.1097179	2012-12-05 04:56:11	1
276354299225853952	48.18803777	10.11349371	2012-12-05 04:56:14	1
276354297460047872	50.0881702	14.4061979	2012-12-05 04:56:13	7
276354355857354752	53.16334723	8.61237357	2012-12-05 04:56:27	1
276354359397330944	50.94001676	6.95699138	2012-12-05 04:56:28	7
276354368196972544	50.64246369	13.84214597	2012-12-05 04:56:30	6
276355716560846849	53.86839314	11.69180523	2012-12-05 05:01:51	1
276354380574384128	52.52281028	13.4006443	2012-12-05 04:56:33	1
276355757639888897	48.13469943	11.5560794	2012-12-05 05:02:01	1
276355716820918272	52.52862916	13.30387258	2012-12-05 05:01:51	7
276355807665332225	50.9569164	10.7149781	2012-12-05 05:02:13	1
276355787872403456	49.64176297	8.75210963	2012-12-05 05:02:08	1
276357439308320768	49.3055157	7.0660043	2012-12-05 05:08:42	1
276355825872818176	49.80127123	9.96083314	2012-12-05 05:02:17	1
276357458975395840	49.9827751	9.13547323	2012-12-05 05:08:47	1
276357446539288576	50.1091526	8.67334242	2012-12-05 05:08:44	1
276357484137025536	50.09734343	14.43523393	2012-12-05 05:08:53	1
276357464071499776	52.24350381	10.46967829	2012-12-05 05:08:48	1
276358933206159361	53.42235924	7.95400138	2012-12-05 05:14:38	1
276357504030617600	53.651851	10.018054	2012-12-05 05:08:58	5
276358970392854528	51.05299531	13.73368263	2012-12-05 05:14:47	1
276358946313351169	49.74580001	6.68603516	2012-12-05 05:14:41	1
276359004572241920	49.74111466	11.83900721	2012-12-05 05:14:55	1
276358977795809281	52.5162731	13.37769985	2012-12-05 05:14:49	1
